# config  n_knots  n_nodes  x  order  rel_diff
1sg  40  41  5.011872e-01  NNLO  4.337395e-02
1sg  40  41  6.606934e-01  NNLO  5.962531e-02
2sg  40  48  2.187762e-04  LO  9.280494e-05
2sg  40  48  2.884032e-04  LO  1.052272e-04
2sg  40  48  3.801894e-04  LO  1.169266e-04
2sg  40  48  5.011872e-04  LO  1.277130e-04
2sg  40  48  6.606934e-04  LO  1.373896e-04
2sg  40  48  8.709636e-04  LO  1.457540e-04
2sg  40  48  1.148154e-03  LO  1.525983e-04
2sg  40  48  1.513561e-03  LO  1.577093e-04
2sg  40  48  1.995262e-03  LO  1.608677e-04
2sg  40  48  2.630268e-03  LO  1.618452e-04
2sg  40  48  3.467369e-03  LO  1.603996e-04
2sg  40  48  4.570882e-03  LO  1.562640e-04
2sg  40  48  6.025596e-03  LO  1.491267e-04
2sg  40  48  7.943282e-03  LO  1.385941e-04
2sg  40  48  1.047129e-02  LO  1.241235e-04
2sg  40  48  1.380384e-02  LO  1.048985e-04
2sg  40  48  1.819701e-02  LO  7.959875e-05
2sg  40  48  2.398833e-02  LO  4.596781e-05
2sg  40  48  3.162278e-02  LO  1.065411e-13
2sg  40  48  4.168694e-02  LO  1.899281e-05
2sg  40  48  5.495409e-02  LO  4.403144e-05
2sg  40  48  7.244360e-02  LO  7.935425e-05
2sg  40  48  9.549926e-02  LO  1.324429e-04
2sg  40  48  1.258925e-01  LO  2.158682e-04
2sg  40  48  1.659587e-01  LO  1.933277e-04
2sg  40  48  2.187762e-01  LO  5.739645e-05
2sg  40  48  2.884032e-01  LO  7.368728e-05
2sg  40  48  3.801894e-01  LO  3.901455e-05
2sg  40  48  5.011872e-01  LO  3.413730e-04
2sg  40  48  6.606934e-01  LO  3.478289e-03
2sg  40  48  2.187762e-04  NLO  5.960726e-05
2sg  40  48  2.884032e-04  NLO  8.373835e-05
2sg  40  48  3.801894e-04  NLO  1.097297e-04
